Age,Gender,Height,Weight,CALC,FAVC,FCVC,NCP,SCC,SMOKE,CH2O,family_history_with_overweight,FAF,TUE,CAEC,MTRANS,NObeyesdad
21,1,1.62,64.0,0,0,2.0,3.0,0,0,2.0,1,0.0,1.0,1,0,0
21,1,1.52,56.0,1,0,3.0,3.0,1,1,3.0,1,3.0,0.0,1,0,0
23,0,1.8,77.0,2,0,2.0,3.0,0,0,2.0,1,2.0,1.0,1,0,0
27,0,1.8,87.0,2,0,3.0,3.0,0,0,2.0,0,2.0,0.0,1,1,1
22,0,1.78,89.8,1,0,2.0,1.0,0,0,2.0,0,0.0,0.0,1,0,2
29,0,1.62,53.0,1,1,2.0,3.0,0,0,2.0,0,0.0,0.0,1,2,0
23,1,1.5,55.0,1,1,3.0,3.0,0,0,2.0,1,1.0,0.0,1,3,0
22,0,1.64,53.0,1,0,2.0,3.0,0,0,2.0,0,3.0,0.0,1,0,0
24,0,1.78,64.0,2,1,3.0,3.0,0,0,2.0,1,1.0,1.0,1,0,0
22,0,1.72,68.0,0,1,2.0,3.0,0,0,2.0,1,1.0,1.0,1,0,0
26,0,1.85,105.0,1,1,3.0,3.0,0,0,3.0,1,2.0,2.0,2,0,3
21,1,1.72,80.0,1,1,2.0,3.0,1,0,2.0,1,2.0,1.0,2,0,2
22,0,1.65,56.0,1,0,3.0,3.0,0,0,3.0,0,2.0,0.0,1,0,0
41,0,1.8,99.0,2,1,2.0,3.0,0,0,2.0,0,2.0,1.0,1,2,3
23,0,1.77,60.0,1,1,3.0,1.0,0,0,1.0,1,1.0,1.0,1,0,0
22,1,1.7,66.0,1,0,3.0,3.0,1,0,2.0,1,2.0,1.0,3,0,0
27,0,1.93,102.0,1,1,2.0,1.0,0,0,1.0,1,1.0,0.0,1,0,2
29,1,1.53,78.0,0,1,2.0,1.0,0,0,2.0,0,0.0,0.0,1,2,3
30,1,1.71,82.0,0,1,3.0,4.0,0,1,1.0,1,0.0,0.0,2,2,2
23,1,1.65,70.0,1,0,2.0,1.0,0,0,2.0,1,0.0,0.0,1,0,1
22,0,1.65,80.0,0,0,2.0,3.0,0,0,2.0,1,3.0,2.0,1,1,2
52,1,1.69,87.0,0,1,3.0,1.0,0,1,2.0,1,0.0,0.0,1,2,3
22,1,1.65,60.0,1,1,3.0,3.0,0,0,2.0,1,1.0,0.0,1,2,0
22,1,1.6,82.0,1,1,1.0,1.0,0,0,2.0,1,0.0,2.0,1,0,3
21,0,1.85,68.0,1,1,2.0,3.0,0,0,2.0,1,0.0,1.0,1,0,0
20,0,1.6,50.0,0,0,2.0,4.0,0,1,2.0,1,3.0,2.0,2,0,0
21,0,1.7,65.0,3,1,2.0,1.0,0,0,2.0,1,1.0,2.0,2,1,0
23,1,1.6,52.0,1,1,2.0,4.0,0,0,2.0,0,2.0,1.0,2,2,0
19,0,1.75,76.0,1,1,3.0,3.0,1,0,2.0,1,3.0,1.0,1,0,0
23,0,1.68,70.0,2,1,2.0,3.0,0,0,2.0,0,2.0,2.0,1,1,0
29,0,1.77,83.0,0,1,1.0,4.0,0,0,3.0,0,0.0,1.0,2,3,1
31,1,1.58,68.0,1,0,2.0,1.0,0,0,1.0,1,1.0,0.0,1,0,2
24,1,1.77,76.0,1,0,2.0,3.0,0,0,3.0,0,1.0,1.0,1,1,0
39,0,1.79,90.0,1,0,2.0,1.0,0,0,2.0,0,0.0,0.0,1,0,2
22,0,1.65,62.0,1,1,2.0,4.0,0,0,2.0,0,2.0,0.0,2,0,0
